id,slide,type,annotation_id
1,1,non-cancer,0
2,1,non-cancer,1
3,1,cancer,2
4,1,non-cancer,3
5,5,non-cancer,0
6,5,non-cancer,1
7,5,cancer,2
8,5,cancer,3
9,7,non-cancer,0
10,7,non-cancer,1
11,7,cancer,2
12,7,cancer,3
13,9,non-cancer,0
14,9,non-cancer,1
15,9,non-cancer,2
16,9,non-cancer,3
17,13,non-cancer,0
18,13,non-cancer,1
19,13,cancer,2
20,13,cancer,3
21,15,non-cancer,0
22,15,non-cancer,1
23,15,cancer,2
24,15,cancer,3
25,16,non-cancer,0
26,16,non-cancer,1
27,16,non-cancer,2
28,16,non-cancer,3
29,17,non-cancer,0
30,17,non-cancer,1
31,17,cancer,2
32,17,cancer,3
33,18,non-cancer,0
34,18,non-cancer,1
35,18,cancer,2
36,18,cancer,3
37,19,cancer,0
38,19,cancer,1
39,19,non-cancer,2
40,19,non-cancer,3
41,20,non-cancer,0
42,20,non-cancer,1
43,20,cancer,2
44,20,cancer,3
45,21,non-cancer,0
46,21,non-cancer,1
47,21,cancer,2
48,21,cancer,3
49,23,non-cancer,0
50,23,non-cancer,1
51,23,cancer,2
52,23,cancer,3
53,25,non-cancer,0
54,25,non-cancer,1
55,25,non-cancer,2
56,25,non-cancer,3
57,45,cancer,0
58,45,cancer,1
59,45,non-cancer,2
60,45,non-cancer,3
61,47,non-cancer,0
62,47,non-cancer,1
63,47,cancer,2
64,47,cancer,3
65,48,non-cancer,0
66,48,non-cancer,1
67,48,non-cancer,2
68,48,non-cancer,3
69,49,non-cancer,0
70,49,non-cancer,1
71,49,cancer,2
72,49,cancer,3
73,50,non-cancer,0
74,50,non-cancer,1
75,50,cancer,2
76,50,cancer,3
77,51,non-cancer,0
78,51,non-cancer,1
79,51,non-cancer,2
80,51,non-cancer,3
81,52,non-cancer,0
82,52,non-cancer,1
83,52,cancer,2
84,52,cancer,3
85,53,cancer,0
86,53,cancer,1
87,53,non-cancer,2
88,53,non-cancer,3
89,61,non-cancer,0
90,61,non-cancer,1
91,61,cancer,2
92,61,cancer,3
93,62,non-cancer,0
94,62,non-cancer,1
95,62,cancer,2
96,62,cancer,3
97,63,non-cancer,0
98,63,non-cancer,1
99,63,cancer,2
100,63,cancer,3
101,66,non-cancer,0
102,66,non-cancer,1
103,66,cancer,2
104,66,cancer,3
105,67,non-cancer,0
106,67,non-cancer,1
107,67,cancer,2
108,67,cancer,3
109,68,cancer,0
110,68,cancer,1
111,68,cancer,2
112,68,cancer,3
113,75,non-cancer,0
114,75,non-cancer,1
115,75,cancer,2
116,75,cancer,3
117,82,non-cancer,0
118,82,non-cancer,1
119,82,cancer,2
120,82,cancer,3
121,83,non-cancer,0
122,83,non-cancer,1
123,83,cancer,2
124,83,cancer,3
125,84,non-cancer,0
126,84,non-cancer,1
127,84,cancer,2
128,84,cancer,3
129,85,non-cancer,0
130,85,non-cancer,1
131,85,cancer,2
132,85,cancer,3
133,86,non-cancer,0
134,86,non-cancer,1
135,86,cancer,2
136,86,cancer,3
137,87,non-cancer,0
138,87,non-cancer,1
139,87,cancer,2
140,87,cancer,3
141,89,non-cancer,0
142,89,non-cancer,1
143,89,cancer,2
144,89,cancer,3
145,90,non-cancer,0
146,90,non-cancer,1
147,90,cancer,2
148,90,cancer,3
149,92,non-cancer,0
150,92,non-cancer,1
151,92,cancer,2
152,92,cancer,3
153,94,non-cancer,0
154,94,non-cancer,1
155,94,cancer,2
156,94,cancer,3
157,95,non-cancer,0
158,95,non-cancer,1
159,95,cancer,2
160,95,cancer,3
