,Accuracy,Sensitivity,Specificity,tAccuracy,tSensitivity,tSpecificity
0,0.8083333333333333,0.7090909090909091,0.8923076923076924,0.775,0.625,0.875
1,0.8083333333333333,0.8,0.8153846153846154,0.775,0.8125,0.75
2,0.8583333333333333,0.7636363636363637,0.9384615384615385,0.725,0.5625,0.8333333333333334
3,0.85,0.7735849056603774,0.9104477611940298,0.8,0.7222222222222222,0.8636363636363636
4,0.8916666666666667,0.8269230769230769,0.9411764705882353,0.75,0.6842105263157895,0.8095238095238095
5,0.8083333333333333,0.7924528301886793,0.8208955223880597,0.85,0.7777777777777778,0.9090909090909091
6,0.8083333333333333,0.819672131147541,0.7966101694915254,0.6,0.5,0.6333333333333333
7,0.7833333333333333,0.7037037037037037,0.8484848484848485,0.725,0.7647058823529411,0.6956521739130435
8,0.7416666666666667,0.6296296296296297,0.8333333333333334,0.875,0.7647058823529411,0.9565217391304348
9,0.7416666666666667,0.5294117647058824,0.8985507246376812,0.725,0.6,0.85
10,0.85,0.8269230769230769,0.8676470588235294,0.825,0.7894736842105263,0.8571428571428571
11,0.8416666666666667,0.7636363636363637,0.9076923076923077,0.725,0.75,0.7083333333333334
12,0.7916666666666666,0.7254901960784313,0.8405797101449275,0.7,0.5,0.9
13,0.8,0.7058823529411765,0.8695652173913043,0.825,0.75,0.9
14,0.8,0.7090909090909091,0.8769230769230769,0.85,0.875,0.8333333333333334
15,0.7916666666666666,0.5686274509803921,0.9565217391304348,0.8,0.65,0.95
16,0.775,0.8113207547169812,0.746268656716418,0.825,0.9444444444444444,0.7272727272727273
17,0.8416666666666667,0.8,0.8769230769230769,0.8,0.6875,0.875
18,0.85,0.7142857142857143,0.9436619718309859,0.725,0.6818181818181818,0.7777777777777778
19,0.85,0.7254901960784313,0.9420289855072463,0.875,0.9,0.85
20,0.775,0.6226415094339622,0.8955223880597015,0.8,0.7777777777777778,0.8181818181818182
21,0.8166666666666667,0.7454545454545455,0.8769230769230769,0.825,0.75,0.875
22,0.8666666666666667,0.7346938775510204,0.9577464788732394,0.725,0.5454545454545454,0.9444444444444444
23,0.8666666666666667,0.7758620689655172,0.9516129032258065,0.675,0.5384615384615384,0.7407407407407407
24,0.8083333333333333,0.7169811320754716,0.8805970149253731,0.8,0.8333333333333334,0.7727272727272727
