,Accuracy,Sensitivity,Specificity,tAccuracy,tSensitivity,tSpecificity
0,0.5416666666666666,0.0,1.0,0.6,0.0,1.0
1,0.5416666666666666,0.0,1.0,0.6,0.0,1.0
2,0.5416666666666666,0.0,1.0,0.6,0.0,1.0
3,0.5583333333333333,0.0,1.0,0.55,0.0,1.0
4,0.5666666666666667,0.0,1.0,0.525,0.0,1.0
5,0.5583333333333333,0.0,1.0,0.55,0.0,1.0
6,0.49166666666666664,0.0,1.0,0.75,0.0,1.0
7,0.45,1.0,0.0,0.425,1.0,0.0
8,0.55,0.0,1.0,0.575,0.0,1.0
9,0.575,0.0,1.0,0.5,0.0,1.0
10,0.5666666666666667,0.0,1.0,0.525,0.0,1.0
11,0.5416666666666666,0.0,1.0,0.6,0.0,1.0
12,0.575,0.0,1.0,0.5,0.0,1.0
13,0.575,0.0,1.0,0.5,0.0,1.0
14,0.5416666666666666,0.0,1.0,0.6,0.0,1.0
15,0.575,0.0,1.0,0.5,0.0,1.0
16,0.5583333333333333,0.0,1.0,0.55,0.0,1.0
17,0.5416666666666666,0.0,1.0,0.6,0.0,1.0
18,0.5916666666666667,0.0,1.0,0.45,0.0,1.0
19,0.425,1.0,0.0,0.5,1.0,0.0
20,0.5583333333333333,0.0,1.0,0.55,0.0,1.0
21,0.5416666666666666,0.0,1.0,0.6,0.0,1.0
22,0.5916666666666667,0.0,1.0,0.45,0.0,1.0
23,0.48333333333333334,1.0,0.0,0.325,1.0,0.0
24,0.5583333333333333,0.0,1.0,0.55,0.0,1.0
