,Accuracy,Sensitivity,Specificity,tAccuracy,tSensitivity,tSpecificity
0,0.7833333333333333,0.9090909090909091,0.676923076923077,0.6,0.75,0.5
1,0.5916666666666667,0.10909090909090909,1.0,0.6,0.0,1.0
2,0.975,0.9636363636363636,0.9846153846153847,0.825,0.875,0.7916666666666666
3,0.925,0.8867924528301887,0.9552238805970149,0.8,0.7777777777777778,0.8181818181818182
4,0.6416666666666667,1.0,0.36764705882352944,0.525,1.0,0.09523809523809523
5,0.875,0.9245283018867925,0.835820895522388,0.825,0.8333333333333334,0.8181818181818182
6,0.75,1.0,0.4915254237288136,0.4,1.0,0.2
7,0.8583333333333333,0.7222222222222222,0.9696969696969697,0.8,0.6470588235294118,0.9130434782608695
8,0.55,0.0,1.0,0.575,0.0,1.0
9,0.575,0.0,1.0,0.5,0.0,1.0
10,0.75,1.0,0.5588235294117647,0.7,1.0,0.42857142857142855
11,0.725,0.41818181818181815,0.9846153846153847,0.8,0.5625,0.9583333333333334
12,0.575,0.0,1.0,0.5,0.0,1.0
13,0.95,0.9019607843137255,0.9855072463768116,0.85,0.85,0.85
14,0.8416666666666667,1.0,0.7076923076923077,0.8,1.0,0.6666666666666666
15,0.5833333333333334,0.0196078431372549,1.0,0.575,0.15,1.0
16,0.7166666666666667,0.8867924528301887,0.582089552238806,0.625,0.8333333333333334,0.45454545454545453
17,0.5833333333333334,0.09090909090909091,1.0,0.575,0.0,0.9583333333333334
18,0.6,0.02040816326530612,1.0,0.45,0.0,1.0
19,0.9416666666666667,0.9215686274509803,0.9565217391304348,0.925,0.95,0.9
20,0.5583333333333333,0.0,1.0,0.55,0.0,1.0
21,0.5666666666666667,0.05454545454545454,1.0,0.6,0.0,1.0
22,0.625,0.08163265306122448,1.0,0.5,0.09090909090909091,1.0
23,0.7333333333333333,0.4482758620689655,1.0,0.7,0.15384615384615385,0.9629629629629629
24,0.9416666666666667,0.8679245283018868,1.0,0.8,0.7222222222222222,0.8636363636363636
