,Accuracy,Sensitivity,Specificity,tAccuracy,tSensitivity,tSpecificity
0,0.4583333333333333,1.0,0.0,0.4,1.0,0.0
1,0.6833333333333333,0.3090909090909091,1.0,0.675,0.1875,1.0
2,0.5833333333333334,0.4,0.7384615384615385,0.625,0.5625,0.6666666666666666
3,0.5583333333333333,0.0,1.0,0.55,0.0,1.0
4,0.5666666666666667,0.0,1.0,0.525,0.0,1.0
5,0.5583333333333333,0.0,1.0,0.55,0.0,1.0
6,0.5083333333333333,1.0,0.0,0.25,1.0,0.0
7,0.55,0.0,1.0,0.575,0.0,1.0
8,0.55,0.0,1.0,0.575,0.0,1.0
9,0.375,0.7647058823529411,0.08695652173913043,0.3,0.6,0.0
10,0.5666666666666667,0.0,1.0,0.525,0.0,1.0
11,0.5416666666666666,0.0,1.0,0.6,0.0,1.0
12,0.4083333333333333,0.9411764705882353,0.014492753623188406,0.5,1.0,0.0
13,0.575,0.0,1.0,0.5,0.0,1.0
14,0.6583333333333333,0.2727272727272727,0.9846153846153847,0.75,0.375,1.0
15,0.575,0.0,1.0,0.5,0.0,1.0
16,0.5583333333333333,0.0,1.0,0.55,0.0,1.0
17,0.5416666666666666,0.0,1.0,0.6,0.0,1.0
18,0.5916666666666667,0.0,1.0,0.45,0.0,1.0
19,0.575,0.0,1.0,0.5,0.0,1.0
20,0.5583333333333333,0.0,1.0,0.55,0.0,1.0
21,0.43333333333333335,0.9454545454545454,0.0,0.35,0.875,0.0
22,0.425,0.24489795918367346,0.5492957746478874,0.475,0.45454545454545453,0.5
23,0.48333333333333334,1.0,0.0,0.325,1.0,0.0
24,0.5416666666666666,1.0,0.1791044776119403,0.525,0.8888888888888888,0.22727272727272727
