,Accuracy,Sensitivity,Specificity,tAccuracy,tSensitivity,tSpecificity
0,0.4583333333333333,1.0,0.0,0.4,1.0,0.0
1,0.4583333333333333,1.0,0.0,0.4,1.0,0.0
2,0.5416666666666666,0.0,1.0,0.6,0.0,1.0
3,0.5583333333333333,0.0,1.0,0.55,0.0,1.0
4,0.43333333333333335,1.0,0.0,0.475,1.0,0.0
5,0.44166666666666665,1.0,0.0,0.45,1.0,0.0
6,0.5083333333333333,1.0,0.0,0.25,1.0,0.0
7,0.4,0.3333333333333333,0.45454545454545453,0.175,0.11764705882352941,0.21739130434782608
8,0.45,1.0,0.0,0.425,1.0,0.0
9,0.4666666666666667,0.9411764705882353,0.11594202898550725,0.525,1.0,0.05
10,0.43333333333333335,1.0,0.0,0.475,1.0,0.0
11,0.4583333333333333,1.0,0.0,0.4,1.0,0.0
12,0.575,0.0,1.0,0.5,0.0,1.0
13,0.425,1.0,0.0,0.5,1.0,0.0
14,0.5416666666666666,0.0,1.0,0.6,0.0,1.0
15,0.575,0.0,1.0,0.5,0.0,1.0
16,0.44166666666666665,1.0,0.0,0.45,1.0,0.0
17,0.4583333333333333,1.0,0.0,0.4,1.0,0.0
18,0.4083333333333333,1.0,0.0,0.55,1.0,0.0
19,0.425,1.0,0.0,0.5,1.0,0.0
20,0.5583333333333333,0.0,1.0,0.55,0.0,1.0
21,0.4583333333333333,1.0,0.0,0.4,1.0,0.0
22,0.5916666666666667,0.0,1.0,0.45,0.0,1.0
23,0.48333333333333334,1.0,0.0,0.325,1.0,0.0
24,0.5583333333333333,0.0,1.0,0.55,0.0,1.0
