,Accuracy,Sensitivity,Specificity,tAccuracy,tSensitivity,tSpecificity
0,0.6083333333333333,0.5818181818181818,0.6307692307692307,0.65,0.6875,0.625
1,0.6583333333333333,0.7636363636363637,0.5692307692307692,0.725,0.8125,0.6666666666666666
2,0.6833333333333333,0.7636363636363637,0.6153846153846154,0.75,0.8125,0.7083333333333334
3,0.5583333333333333,0.0,1.0,0.55,0.0,1.0
4,0.5666666666666667,0.3076923076923077,0.7647058823529411,0.675,0.42105263157894735,0.9047619047619048
5,0.5583333333333333,0.0,1.0,0.55,0.0,1.0
6,0.6083333333333333,0.5573770491803278,0.6610169491525424,0.675,0.5,0.7333333333333333
7,0.5666666666666667,0.05555555555555555,0.9848484848484849,0.625,0.11764705882352941,1.0
8,0.55,0.0,1.0,0.575,0.0,1.0
9,0.575,0.0,1.0,0.5,0.0,1.0
10,0.5666666666666667,0.0,1.0,0.525,0.0,1.0
11,0.6833333333333333,0.6545454545454545,0.7076923076923077,0.575,0.5,0.625
12,0.575,0.0,1.0,0.5,0.0,1.0
13,0.575,0.0,1.0,0.5,0.0,1.0
14,0.625,0.18181818181818182,1.0,0.625,0.125,0.9583333333333334
15,0.575,0.0,1.0,0.5,0.0,1.0
16,0.5583333333333333,0.0,1.0,0.55,0.0,1.0
17,0.5666666666666667,0.32727272727272727,0.7692307692307693,0.675,0.25,0.9583333333333334
18,0.5916666666666667,0.0,1.0,0.45,0.0,1.0
19,0.575,0.0,1.0,0.5,0.0,1.0
20,0.5583333333333333,0.0,1.0,0.55,0.0,1.0
21,0.6083333333333333,0.16363636363636364,0.9846153846153847,0.675,0.1875,1.0
22,0.5916666666666667,0.0,1.0,0.45,0.0,1.0
23,0.7583333333333333,0.6551724137931034,0.8548387096774194,0.65,0.46153846153846156,0.7407407407407407
24,0.5583333333333333,0.0,1.0,0.55,0.0,1.0
