,Accuracy,Sensitivity,Specificity,tAccuracy,tSensitivity,tSpecificity
0,0.5416666666666666,0.0,1.0,0.6,0.0,1.0
1,0.4583333333333333,1.0,0.0,0.4,1.0,0.0
2,0.5916666666666667,0.9636363636363636,0.27692307692307694,0.45,0.875,0.16666666666666666
3,0.44166666666666665,1.0,0.0,0.45,1.0,0.0
4,0.43333333333333335,1.0,0.0,0.475,1.0,0.0
5,0.44166666666666665,1.0,0.0,0.45,1.0,0.0
6,0.5083333333333333,1.0,0.0,0.25,1.0,0.0
7,0.45,1.0,0.0,0.425,1.0,0.0
8,0.55,0.0,1.0,0.575,0.0,1.0
9,0.425,1.0,0.0,0.5,1.0,0.0
10,0.5416666666666666,0.0,0.9558823529411765,0.45,0.0,0.8571428571428571
11,0.4583333333333333,1.0,0.0,0.4,1.0,0.0
12,0.4166666666666667,0.9803921568627451,0.0,0.5,1.0,0.0
13,0.425,1.0,0.0,0.5,1.0,0.0
14,0.4583333333333333,1.0,0.0,0.4,1.0,0.0
15,0.425,1.0,0.0,0.5,1.0,0.0
16,0.44166666666666665,1.0,0.0,0.45,1.0,0.0
17,0.4583333333333333,1.0,0.0,0.4,1.0,0.0
18,0.4083333333333333,1.0,0.0,0.55,1.0,0.0
19,0.425,1.0,0.0,0.5,1.0,0.0
20,0.5583333333333333,0.0,1.0,0.55,0.0,1.0
21,0.4583333333333333,1.0,0.0,0.4,1.0,0.0
22,0.4083333333333333,1.0,0.0,0.55,1.0,0.0
23,0.6416666666666667,0.27586206896551724,0.9838709677419355,0.55,0.07692307692307693,0.7777777777777778
24,0.44166666666666665,1.0,0.0,0.45,1.0,0.0
